Panel_ID,Ubicacion,Latitud,Longitud,Grado_inclinacion,Temperatura_C,Humedad (%),Viento (m/s),Nubosidad (%),Eficiencia_inicial (%),Eficiencia_actual (%),Fecha_medicion,Costo_instalacion (CLP),Costo_instalacion (USD),Costo_mantenimiento (CLP),Costo_mantenimiento (USD),Produccion_energia (kWh),Vida_util (años),Incentivos_fiscales (CLP),Incentivos_fiscales (USD),Cantidad_paneles
92516,Chicureo,-33.5394310205602,-70.83321343608155,36,34.04,65.7,8.25935433801282,95.99,86.87,84.15,2024-01-01,1246754,1385.282222222222,271958,99.89,3403.0,24,168551,187.2788888888889,6
60162,Lampa,-33.29075837439381,-70.9602225493009,27,31.13,58.11,4.738538331307778,63.52,90.8,87.34,2024-01-02,1678577,1865.085555555556,296867,117.47555555555556,3320.0,24,134132,149.03555555555556,9
53225,Lampa,-33.26894198985259,-70.5813143970133,38,19.58,68.56,1.8284756564474325,89.17,93.2,89.59,2024-01-03,1326897,1474.33,281932,113.17888888888888,3689.0,26,138681,154.09,7
84395,Lampa,-33.605816383685585,-70.65045993994262,34,22.75,67.57,4.0087426232666825,19.55,80.04,76.82,2024-01-04,1458074,1620.0822222222223,409178,91.42666666666666,3786.0,23,141012,156.68,10
60188,Lampa,-33.22167984328232,-70.9312551402795,35,31.95,38.48,5.084928422260856,36.99,87.87,86.79,2024-01-05,1442458,1602.7311111111112,269879,148.2722222222222,5234.0,22,99880,110.97777777777776,7
36192,Colina,-33.61363462046662,-70.65468808493182,40,17.06,72.18,2.8865159703045986,32.35,82.88,82.47,2024-01-06,1409961,1566.6233333333332,260268,147.95111111111112,5742.0,27,71188,79.09777777777778,10
73503,Lampa,-33.22669679496699,-70.50239541776554,35,20.05,58.46,5.729176551551717,90.0,82.52,79.07,2024-01-07,1737420,1930.4666666666667,357892,159.6677777777778,3549.0,26,138690,154.1,10
90347,Colina,-33.3137689092136,-70.78988703568757,23,13.93,61.52,5.644406057602282,63.29,89.86,88.78,2024-01-08,1900845,2112.05,204886,116.06555555555556,5997.0,27,177697,197.4411111111111,9
62289,Colina,-33.57133968679291,-70.71200765649074,36,27.44,55.78,7.845696928764472,28.08,91.75,90.45,2024-01-09,1918040,2131.155555555556,287337,65.70333333333333,3465.0,21,147747,164.16333333333333,9
35814,Colina,-33.429130744554584,-70.74676707924704,27,27.55,36.53,6.9435814956328095,97.36,83.48,78.97,2024-01-10,1391376,1545.9733333333334,237498,144.34555555555556,4832.0,25,85034,94.48222222222222,7
89086,Chicureo,-33.32139010723331,-70.63377106054382,27,24.3,39.98,3.676956165506076,66.14,83.35,79.16,2024-01-11,1428251,1586.9455555555555,325203,102.05333333333331,3798.0,21,152995,169.99444444444444,6
50680,Colina,-33.32447953287738,-70.61526800726902,34,24.31,68.82,5.746805741936809,37.6,90.13,87.45,2024-01-12,1362497,1513.8855555555556,341335,139.65,5894.0,28,135229,150.25444444444443,10
38278,Lampa,-33.66180678221137,-70.78566087411103,22,33.73,43.0,4.277191871163325,74.49,94.7,91.18,2024-01-13,1918295,2131.438888888889,428167,68.57777777777778,5633.0,23,75843,84.27,6
42249,Colina,-33.26515349694341,-70.76532519585683,24,15.39,33.85,1.567170818340824,75.95,92.47,91.92,2024-01-14,1407123,1563.47,191090,143.92555555555555,3495.0,29,197593,219.54777777777767,5
83267,Pirque,-33.51721989265997,-70.75376682445749,31,30.18,55.35,3.1211711214821545,16.9,87.04,86.89,2024-01-15,1821849,2024.2766666666664,479365,89.56222222222222,4786.0,21,138946,154.38444444444443,10
97372,Chicureo,-33.332812270648844,-70.74875860020607,22,27.81,62.78,1.8648606067571416,19.81,89.58,87.1,2024-01-16,1146359,1273.7322222222222,214820,108.01222222222222,4237.0,23,109104,121.22666666666667,9
64464,Lampa,-33.386050524268995,-70.63587046358892,28,31.93,62.63,4.7700739018506,57.58,88.83,84.2,2024-01-17,1494635,1660.7055555555555,412913,136.12777777777777,3531.0,22,88981,98.86777777777776,9
58387,Chicureo,-33.6381970802826,-70.74614763798306,37,31.49,44.93,9.698624583455288,80.15,93.88,92.93,2024-01-18,1333740,1481.9333333333334,471879,64.44222222222223,4535.0,28,183059,203.39888888888888,10
11581,Chicureo,-33.417411297722545,-70.50015088028265,34,28.48,31.68,4.945239886662596,63.31,87.01,83.61,2024-01-19,1416293,1573.658888888889,344027,68.23444444444445,4850.0,21,144964,161.07111111111112,10
71189,Lampa,-33.617697744835965,-70.77329426364966,32,11.25,31.8,2.0684916888595826,57.04,89.55,85.25,2024-01-20,1150404,1278.2266666666667,477069,102.51666666666668,5375.0,24,127590,141.76666666666668,9
79707,Colina,-33.61101203213384,-70.7612989816517,32,10.72,44.38,8.45893327372515,11.84,82.16,78.85,2024-01-21,1716627,1907.3633333333328,402709,72.03,5035.0,23,174186,193.54,8
96469,Pirque,-33.26397222609992,-70.56204067097205,20,11.64,58.74,6.065465881428134,74.68,82.68,78.65,2024-01-22,1353802,1504.2244444444443,349041,61.45,4088.0,29,192046,213.38444444444443,9
13375,Colina,-33.485642739069526,-70.90669866429265,20,28.42,71.94,5.886116332232037,37.32,90.94,87.86,2024-01-23,1038717,1154.13,417455,87.68,3639.0,20,56669,62.965555555555554,9
54535,Chicureo,-33.56820320180172,-70.8055026084038,26,24.92,60.17,0.287892473429161,92.19,92.04,89.85,2024-01-24,1455743,1617.4922222222222,253355,99.31444444444443,4174.0,24,182958,203.28666666666663,9
12935,Chicureo,-33.36100818647722,-70.93427938751852,29,19.92,78.02,0.8092261834161529,23.15,91.03,88.69,2024-01-25,1673335,1859.2611111111112,385796,129.6588888888889,4671.0,21,126464,140.51555555555555,9
76674,Colina,-33.36897246529917,-70.95836877124185,20,24.82,35.02,3.605724650330512,94.69,85.71,81.28,2024-01-26,1874695,2082.9944444444445,364176,113.85,4162.0,21,171425,190.47222222222223,9
71170,Chicureo,-33.35516415633422,-70.59068862168668,22,31.18,71.14,8.540950242093876,93.41,90.44,89.68,2024-01-27,1982153,2202.3922222222222,334779,113.77111111111113,3971.0,21,126707,140.78555555555556,10
56971,Batuco,-33.290136986385136,-70.95975175081134,36,33.59,55.94,5.797799866061226,44.26,94.14,93.8,2024-01-28,1244037,1382.263333333333,497449,55.63444444444445,4037.0,25,178189,197.9877777777777,8
78542,Lampa,-33.60386365137472,-70.97514904671863,34,14.59,74.91,9.242705553962749,43.85,88.39,84.09,2024-01-29,1609598,1788.4422222222222,408795,112.14,4186.0,29,83711,93.01222222222222,8
74190,Lampa,-33.56774457378361,-70.80709829968974,25,20.18,36.04,2.2448754015079544,65.66,87.52,86.51,2024-01-30,1710230,1900.255555555556,306730,125.30444444444444,3567.0,29,186470,207.1888888888889,10
14444,Chicureo,-33.63089820745329,-70.57247375552814,26,23.89,64.36,0.2273451736851073,78.29,92.4,90.69,2024-01-31,1044945,1161.05,496622,106.02555555555556,5111.0,23,101918,113.24222222222222,5
22789,Lampa,-33.695904533680775,-70.75038647030641,36,25.22,79.42,2.5354606861667364,98.8,87.82,84.91,2024-02-01,1790187,1989.0966666666664,299503,164.82666666666665,5497.0,28,175801,195.33444444444444,5
68374,Batuco,-33.35811550219267,-70.51930433379091,26,33.74,39.04,3.694150446474626,96.19,81.16,77.73,2024-02-02,1228509,1365.01,280523,157.5677777777778,4814.0,26,57801,64.22333333333333,7
19109,Colina,-33.69582011038991,-70.79673317394273,31,12.56,31.45,5.767061748495276,16.18,81.84,80.81,2024-02-03,1190731,1323.0344444444445,152747,114.66111111111113,5420.0,22,51359,57.06555555555556,5
73627,Colina,-33.38448149600165,-70.75854401587564,23,10.02,73.13,3.150113109788426,89.17,89.77,88.87,2024-02-04,1773276,1970.3066666666664,273855,147.63222222222225,4342.0,26,73531,81.70111111111112,8
45830,Colina,-33.2510507257553,-70.9250739590233,25,31.82,31.34,3.442528283090564,89.88,81.46,81.32,2024-02-05,1452478,1613.8644444444444,215725,129.00333333333333,3893.0,27,84634,94.03777777777778,8
42436,Batuco,-33.25660460009121,-70.59743566104024,34,23.94,57.15,7.335469301886142,16.04,81.1,79.27,2024-02-06,1718205,1909.1166666666663,279981,69.58111111111111,3043.0,23,190889,212.0988888888889,7
29125,Pirque,-33.3472874694556,-70.8010272209189,29,22.58,68.49,8.775812055983614,89.51,89.19,87.45,2024-02-07,1472719,1636.3544444444444,234654,122.82777777777778,3507.0,26,156626,174.0288888888889,8
61276,Pirque,-33.46036260503245,-70.59234691787758,24,25.98,61.28,1.7262724511764116,28.32,83.93,82.57,2024-02-08,1243166,1381.2955555555557,217435,88.96888888888888,4429.0,22,66667,74.07444444444444,9
13252,Lampa,-33.63722965702976,-70.83415902510987,35,31.63,65.49,3.4480576751377354,64.71,88.91,86.47,2024-02-09,1780071,1977.8566666666663,469030,128.2111111111111,5908.0,28,173062,192.29111111111112,9
69310,Colina,-33.24814217629729,-70.59776272914175,20,24.98,76.68,2.570306064767167,38.07,94.53,93.21,2024-02-10,1584619,1760.6877777777777,478947,70.58111111111111,4776.0,26,148846,165.38444444444443,8
59748,Batuco,-33.51129511658481,-70.99307849127786,24,13.26,35.79,4.484079484855611,68.65,82.83,79.61,2024-02-11,1518442,1687.1577777777777,181551,159.19,4494.0,29,140026,155.58444444444444,7
10415,Chicureo,-33.67788622217149,-70.9620426007874,39,21.66,77.48,1.2084815946697336,58.68,85.19,81.57,2024-02-12,1021604,1135.1155555555556,423538,128.24555555555557,5679.0,29,185441,206.04555555555555,9
80591,Colina,-33.36679789568525,-70.81726540128912,21,29.1,65.66,3.2995971403328084,50.61,85.87,83.87,2024-02-13,1362490,1513.8777777777775,481236,143.69444444444446,3655.0,24,125996,139.99555555555557,6
25513,Pirque,-33.22986783208202,-70.77476182663996,32,10.89,42.64,3.4266611520955594,81.53,90.56,86.82,2024-02-14,1018537,1131.7077777777777,153890,161.45777777777778,3354.0,20,81765,90.85,9
66642,Pirque,-33.5569254338461,-70.77491469443156,28,15.53,64.98,2.362165840577022,87.11,81.43,78.44,2024-02-15,1177770,1308.6333333333334,191606,155.04555555555555,4959.0,28,172398,191.5533333333333,6
62578,Batuco,-33.495867721143505,-70.54694177416815,31,31.53,77.43,0.9305657436096372,68.18,90.16,86.42,2024-02-16,1714708,1905.2311111111112,406840,72.52,4645.0,27,122430,136.03333333333333,6
76275,Lampa,-33.40404820813282,-70.62109585690584,37,14.3,35.43,7.952079682906014,23.53,85.64,84.0,2024-02-17,1772570,1969.522222222222,499457,72.58,5901.0,21,143187,159.09666666666666,10
96052,Batuco,-33.38642823888489,-70.73885415232456,35,25.57,49.28,1.5644517475100397,71.22,81.88,79.22,2024-02-18,1044422,1160.4688888888888,291699,147.74666666666667,3222.0,25,91761,101.95666666666666,9
88396,Batuco,-33.64136279880479,-70.82849610014043,24,12.28,37.8,6.901567569111697,23.1,87.51,82.82,2024-02-19,1354048,1504.497777777778,420936,88.15555555555555,4708.0,29,70053,77.83666666666667,5
60810,Pirque,-33.66202625227346,-70.60347250986247,32,29.32,39.36,2.9564908174962667,40.23,93.51,90.86,2024-02-20,1612668,1791.8533333333332,389931,137.02444444444444,5308.0,22,180138,200.1533333333333,8
21084,Chicureo,-33.5366342811591,-70.90144875994645,24,22.99,54.17,9.1994319446611,20.62,86.43,83.88,2024-02-21,1991484,2212.76,389629,134.60777777777778,5043.0,20,177558,197.28666666666663,7
61155,Batuco,-33.48361824910045,-70.80559197616589,40,19.01,58.63,5.323291578675833,74.35,82.59,82.47,2024-02-22,1651603,1835.1144444444444,355041,128.94222222222223,3438.0,22,65421,72.69,7
80019,Lampa,-33.52504024682117,-70.66324524528997,23,19.79,40.34,9.698895214551902,0.71,85.37,83.61,2024-02-23,1931227,2145.8077777777776,324073,59.76111111111111,5994.0,29,75009,83.34333333333333,5
67975,Batuco,-33.563642393121526,-70.85254567579896,35,14.02,60.56,6.9568462814695184,88.29,83.32,78.48,2024-02-24,1829729,2033.032222222222,357624,119.89222222222222,3578.0,28,125212,139.12444444444444,5
48786,Chicureo,-33.275772050691096,-70.61356599564776,24,16.98,55.97,1.3976378398181422,80.95,84.19,82.8,2024-02-25,1450562,1611.7355555555555,218148,133.61333333333334,4224.0,24,132013,146.6811111111111,6
11978,Pirque,-33.620153715081415,-70.69241859137468,21,24.38,69.39,3.28442470195228,82.71,86.37,85.76,2024-02-26,1419677,1577.418888888889,402801,119.00333333333332,4261.0,24,194290,215.87777777777777,8
67296,Lampa,-33.45682799756919,-70.50456203878163,38,21.41,47.27,9.407822556334912,18.91,83.09,79.51,2024-02-27,1411639,1568.487777777778,274243,142.38333333333333,4521.0,29,147001,163.33444444444444,8
66123,Pirque,-33.281351426080285,-70.50111435539567,22,19.87,73.69,2.1397441938927253,35.97,81.04,80.75,2024-02-28,1807348,2008.1644444444444,401995,83.2611111111111,4126.0,25,88396,98.21777777777778,7
